epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,455.907,0.88028,0.56217,1.14009,0.9542,0.96021,0.96742,0.66604,1.23329,0.56662,1.36408,0.000294061,0.000294061,0.000294061
43,466.401,0.82985,0.53818,1.10439,0.93905,0.95868,0.96477,0.67242,1.22976,0.54881,1.36129,0.000279063,0.000279063,0.000279063
44,476.233,0.81028,0.51585,1.10278,0.93736,0.95237,0.96681,0.65815,1.2078,0.55934,1.35078,0.000264064,0.000264064,0.000264064
45,487.075,0.86851,0.52629,1.11961,0.95207,0.93518,0.96935,0.66093,1.21193,0.56942,1.34231,0.000249066,0.000249066,0.000249066
46,497.569,0.78805,0.52239,1.05624,0.96446,0.9323,0.97019,0.65727,1.24104,0.56649,1.3425,0.000234068,0.000234068,0.000234068
47,506.449,0.84879,0.54205,1.1072,0.975,0.94778,0.97344,0.65589,1.28333,0.54957,1.37755,0.000219069,0.000219069,0.000219069
48,517.713,0.9118,0.6255,1.1459,0.98338,0.95699,0.97783,0.66652,1.28874,0.52672,1.37155,0.00020407,0.00020407,0.00020407
49,527.981,0.81771,0.51266,1.07971,0.97386,0.95847,0.97261,0.66206,1.27483,0.53234,1.372,0.000189072,0.000189072,0.000189072
50,538.416,0.87855,0.68732,1.21356,0.96312,0.96482,0.973,0.65196,1.25491,0.5377,1.37852,0.000174074,0.000174074,0.000174074
51,565.084,0.74487,0.94666,1.04841,0.97153,0.95571,0.97907,0.66476,1.26456,0.53488,1.39005,0.000159075,0.000159075,0.000159075
52,579.544,0.77526,0.43837,1.03917,0.96815,0.96159,0.97864,0.663,1.26427,0.53275,1.3859,0.000144077,0.000144077,0.000144077
53,588.69,0.77465,0.42611,1.08476,0.97354,0.97186,0.97875,0.65612,1.25369,0.52765,1.37666,0.000129078,0.000129078,0.000129078
54,600.318,0.71312,0.40533,1.00952,0.96908,0.96666,0.98027,0.65679,1.25438,0.53442,1.37801,0.00011408,0.00011408,0.00011408
55,611.792,0.7167,0.60154,1.01971,0.96992,0.96582,0.98515,0.66196,1.25039,0.52247,1.38326,9.9081e-05,9.9081e-05,9.9081e-05
56,620.282,0.67705,0.81228,1.05751,0.97143,0.96867,0.98661,0.66899,1.25337,0.52412,1.39493,8.40825e-05,8.40825e-05,8.40825e-05
57,630.013,0.67626,0.40087,0.99171,0.9745,0.97084,0.98827,0.66793,1.25803,0.518,1.40357,6.9084e-05,6.9084e-05,6.9084e-05
58,641.249,0.63839,0.56987,0.99718,0.97624,0.96744,0.98851,0.67355,1.2623,0.51895,1.41437,5.40855e-05,5.40855e-05,5.40855e-05
59,652.349,0.64522,0.35375,0.99793,0.97666,0.9676,0.99072,0.66693,1.26447,0.5051,1.41424,3.9087e-05,3.9087e-05,3.9087e-05
60,661.917,0.67341,0.40023,1.00294,0.97666,0.96896,0.99048,0.66545,1.26008,0.50012,1.41602,2.40885e-05,2.40885e-05,2.40885e-05
